Statistical profiling result from ccl-v8.log, (5206 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *PathExpression /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      1    0.0%    0.0%  LazyCompile: *<anonymous> internal/per_context/primordials.js:23:10
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:274:31
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/shalema/Documents/Coding/Coderhouse/Desafio24/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24

 [C++]:
   ticks  total  nonlib   name
   2667   51.2%   53.1%  t __ZN2v88internal12_GLOBAL__N_132InsertCodeIntoOptimizedCodeCacheEPNS0_24OptimizedCompilationInfoE
    479    9.2%    9.5%  t __ZN4node2fsL4ReadERKN2v820FunctionCallbackInfoINS1_5ValueEEE
    269    5.2%    5.4%  T __ZN4node10contextify17ContextifyContext15CompileFunctionERKN2v820FunctionCallbackInfoINS2_5ValueEEE
    107    2.1%    2.1%  t __ZN4node2fsL22InternalModuleReadJSONERKN2v820FunctionCallbackInfoINS1_5ValueEEE
    105    2.0%    2.1%  T __ZN4node13native_module15NativeModuleEnv15CompileFunctionERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     92    1.8%    1.8%  T ___workq_kernreturn
     91    1.7%    1.8%  T __kernelrpc_thread_policy_set
     71    1.4%    1.4%  t __ZN4node2fsL4OpenERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     65    1.2%    1.3%  t __ZN4node2fsL4StatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     56    1.1%    1.1%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_6WritevERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
     55    1.1%    1.1%  T _semaphore_create
     46    0.9%    0.9%  T __ZN4node2fs5CloseERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     46    0.9%    0.9%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11WriteStringILNS_8encodingE1EEEiRKN2v820FunctionCallbackInfoINS4_5ValueEEEEEEEvS9_
     35    0.7%    0.7%  t __ZN2v88internal12StringHasher20HashSequentialStringIhEEjPKT_iy
     34    0.7%    0.7%  t __ZN4nodeL11MemoryUsageERKN2v820FunctionCallbackInfoINS0_5ValueEEE
     34    0.7%    0.7%  T _mach_vm_map
     28    0.5%    0.6%  t __ZN4node2fsL5FStatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     25    0.5%    0.5%  T _fcntl
     25    0.5%    0.5%  T __ZN4node2fs16NewFSReqCallbackERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     23    0.4%    0.5%  T _task_policy_set
     19    0.4%    0.4%  t __ZN4node6Buffer12_GLOBAL__N_111StringSliceILNS_8encodingE1EEEvRKN2v820FunctionCallbackInfoINS4_5ValueEEE
     18    0.3%    0.4%  T __ZN4node6crypto4Hash3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     17    0.3%    0.3%  T ___commpage_gettimeofday
     15    0.3%    0.3%  t __ZN4node2fsL18InternalModuleStatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     13    0.2%    0.3%  t __ZN2v88internal12_GLOBAL__N_119HandleApiCallHelperILb0EEENS0_11MaybeHandleINS0_6ObjectEEEPNS0_7IsolateENS0_6HandleINS0_10HeapObjectEEESA_NS8_INS0_20FunctionTemplateInfoEEENS8_IS4_EENS0_16BuiltinArgumentsE
     13    0.2%    0.3%  T __ZN4node6crypto11RandomBytesERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     12    0.2%    0.2%  t __ZN4node2fsL7ReadDirERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     12    0.2%    0.2%  t __ZN4node2fsL5LStatERKN2v820FunctionCallbackInfoINS1_5ValueEEE
     10    0.2%    0.2%  t __ZN4nodeL9EnvGetterEN2v85LocalINS0_4NameEEERKNS0_20PropertyCallbackInfoINS0_5ValueEEE
      9    0.2%    0.2%  t __ZN2v88internal25FunctionCallbackArguments4CallENS0_15CallHandlerInfoE
      9    0.2%    0.2%  T __ZN4node6crypto4Hash10HashDigestERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      8    0.2%    0.2%  t __ZN4node6Buffer12_GLOBAL__N_111StringWriteILNS_8encodingE1EEEvRKN2v820FunctionCallbackInfoINS4_5ValueEEE
      8    0.2%    0.2%  T __ZN4node21InternalCallbackScope5CloseEv
      7    0.1%    0.1%  T __ZN4node7binding18GetInternalBindingERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      7    0.1%    0.1%  T __ZN2v88Function4CallENS_5LocalINS_7ContextEEENS1_INS_5ValueEEEiPS5_
      6    0.1%    0.1%  T _chmod
      5    0.1%    0.1%  t __ZNSt3__112__hash_tableIN4node19CleanupHookCallbackENS2_4HashENS2_5EqualENS_9allocatorIS2_EEE14__erase_uniqueIS2_EEmRKT_
      5    0.1%    0.1%  t __ZN4node9inspector12_GLOBAL__N_120InspectorConsoleCallERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      5    0.1%    0.1%  t __ZN2v88internal6String7FlattenEPNS0_7IsolateENS0_6HandleIS1_EENS0_14AllocationTypeE
      5    0.1%    0.1%  t __ZN2v88internal14LookupIteratorC2EPNS0_7IsolateENS0_6HandleINS0_6ObjectEEENS4_INS0_4NameEEEmNS4_INS0_10JSReceiverEEENS1_13ConfigurationE
      5    0.1%    0.1%  T __ZN4node7TTYWrap3NewERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      5    0.1%    0.1%  T __ZN4node6crypto4Hash10HashUpdateERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      4    0.1%    0.1%  t __ZN4nodeL8EnvQueryEN2v85LocalINS0_4NameEEERKNS0_20PropertyCallbackInfoINS0_7IntegerEEE
      4    0.1%    0.1%  t __ZN2v88internal11StringShape33DispatchToSpecificTypeWithoutCastIZNS1_22DispatchToSpecificTypeIZNS0_6String3GetEiE19StringGetDispatchertJRiEEET0_S4_DpOT1_E17CastingDispatchertJRS4_S6_EEES7_SA_
      4    0.1%    0.1%  T __ZN4node2fs15FSReqAfterScopeC2EPNS0_9FSReqBaseEP7uv_fs_s
      4    0.1%    0.1%  T __ZN2v88internal20Builtin_ArrayUnshiftEiPmPNS0_7IsolateE
      3    0.1%    0.1%  t __ZNSt3__112__hash_tableIN4node19CleanupHookCallbackENS2_4HashENS2_5EqualENS_9allocatorIS2_EEE4findIS2_EENS_15__hash_iteratorIPNS_11__hash_nodeIS2_PvEEEERKT_
      3    0.1%    0.1%  t __ZN4node6Buffer12_GLOBAL__N_111StringSliceILNS_8encodingE2EEEvRKN2v820FunctionCallbackInfoINS4_5ValueEEE
      3    0.1%    0.1%  t __ZN4node10cares_wrap12_GLOBAL__N_111ChannelWrap3NewERKN2v820FunctionCallbackInfoINS3_5ValueEEE
      3    0.1%    0.1%  t __ZN2v88internalL26Builtin_Impl_HandleApiCallENS0_16BuiltinArgumentsEPNS0_7IsolateE
      3    0.1%    0.1%  t __ZN2v88internal9CopyCharsIhtEEvPT0_PKT_m
      3    0.1%    0.1%  t __ZN2v88internal17PrototypeIterator7AdvanceEv
      3    0.1%    0.1%  t __ZN2v88internal12_GLOBAL__N_119HandleApiCallHelperILb1EEENS0_11MaybeHandleINS0_6ObjectEEEPNS0_7IsolateENS0_6HandleINS0_10HeapObjectEEESA_NS8_INS0_20FunctionTemplateInfoEEENS8_IS4_EENS0_16BuiltinArgumentsE
      3    0.1%    0.1%  T _mach_vm_copy
      3    0.1%    0.1%  T _host_get_special_port
      3    0.1%    0.1%  T __ZNK2v85Value10IsFunctionEv
      3    0.1%    0.1%  T __ZN4node21InternalCallbackScopeC2EPNS_11EnvironmentEN2v85LocalINS3_6ObjectEEERKNS_13async_contextEi
      3    0.1%    0.1%  T __ZN2v88internal8Builtins14builtin_handleEi
      3    0.1%    0.1%  T __ZN2v88internal19Builtin_ArrayConcatEiPmPNS0_7IsolateE
      2    0.0%    0.0%  t __ZN4node4utilL14SetHiddenValueERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  t __ZN4node10task_queueL13RunMicrotasksERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      2    0.0%    0.0%  t __ZN4node10BaseObject17decrease_refcountEv
      2    0.0%    0.0%  t __ZN4node10AsyncHooks17pop_async_contextEd
      2    0.0%    0.0%  t __ZN2v88internalL24Builtin_Impl_ArrayConcatENS0_16BuiltinArgumentsEPNS0_7IsolateE
      2    0.0%    0.0%  t __ZN2v84base19TemplateHashMapImplIPvS2_NS0_26HashEqualityThenKeyMatcherIS2_PFbS2_S2_EEENS0_23DefaultAllocationPolicyEE14LookupOrInsertIZNS8_14LookupOrInsertERKS2_jS7_EUlvE_EEPNS0_20TemplateHashMapEntryIS2_S2_EESB_jRKT_S7_
      2    0.0%    0.0%  T __kernelrpc_mach_vm_protect_trap
      2    0.0%    0.0%  T __ZN4node11UVExceptionEPN2v87IsolateEiPKcS4_S4_S4_
      2    0.0%    0.0%  T __ZN4node10StreamBase8JSMethodIXadL_ZNS0_11WriteBufferERKN2v820FunctionCallbackInfoINS2_5ValueEEEEEEEvS7_
      2    0.0%    0.0%  T __ZN2v89Exception5ErrorENS_5LocalINS_6StringEEE
      2    0.0%    0.0%  T __ZN2v88internal9Accessors23FunctionPrototypeGetterENS_5LocalINS_4NameEEERKNS_20PropertyCallbackInfoINS_5ValueEEE
      2    0.0%    0.0%  T __ZN2v88internal9Accessors20FunctionLengthGetterENS_5LocalINS_4NameEEERKNS_20PropertyCallbackInfoINS_5ValueEEE
      2    0.0%    0.0%  T __ZN2v88internal8Compiler19GetFunctionFromEvalENS0_6HandleINS0_6StringEEENS2_INS0_18SharedFunctionInfoEEENS2_INS0_7ContextEEENS0_12LanguageModeENS0_16ParseRestrictionEiii
      2    0.0%    0.0%  T __ZN2v88internal25FunctionCallbackArgumentsC1EPNS0_7IsolateENS0_6ObjectENS0_10HeapObjectES4_S5_Pmi
      2    0.0%    0.0%  T __ZN2v88internal23Builtin_DateConstructorEiPmPNS0_7IsolateE
      2    0.0%    0.0%  T __ZN2v88internal15AstValueFactory9GetStringEjbNS0_6VectorIKhEE
      2    0.0%    0.0%  T __ZN2v88internal15AstValueFactory24GetOneByteStringInternalENS0_6VectorIKhEE
      2    0.0%    0.0%  T __ZN2v87Context4ExitEv
      2    0.0%    0.0%  T __ZN2v86String14NewFromOneByteEPNS_7IsolateEPKhNS_13NewStringTypeEi
      2    0.0%    0.0%  T __ZN2v811HandleScopeD1Ev
      1    0.0%    0.0%  t __pthread_bsdthread_init
      1    0.0%    0.0%  t __ZZN4node15LibuvStreamWrap9ReadStartEvEN3$_18__invokeEP11uv_handle_smP8uv_buf_t
      1    0.0%    0.0%  t __ZNSt3__116__pad_and_outputIcNS_11char_traitsIcEEEENS_19ostreambuf_iteratorIT_T0_EES6_PKS4_S8_S8_RNS_8ios_baseES4_
      1    0.0%    0.0%  t __ZNK4node32NonOwningExternalTwoByteResource4dataEv
      1    0.0%    0.0%  t __ZNK2v88internal17PrototypeIterator9HasAccessEv
      1    0.0%    0.0%  t __ZNK2v88internal10ScopedListIPNS0_9StatementEPvE6CopyToEPNS0_8ZoneListIS3_EEPNS0_4ZoneE
      1    0.0%    0.0%  t __ZN4node3url12_GLOBAL__N_15ParseERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      1    0.0%    0.0%  t __ZN4node2osL10GetCPUInfoERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  t __ZN4node2fs13FSReqCallbackD0Ev
      1    0.0%    0.0%  t __ZN4node2fs10GetReqWrapERKN2v820FunctionCallbackInfoINS1_5ValueEEEib
      1    0.0%    0.0%  t __ZN4node15TraceEventScopeD2Ev
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser5ProxyIMS1_FiPKcmEXadL_ZNS1_15on_header_valueES4_mEEE3RawEP18llhttp__internal_sS4_m
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_16Parser13OnStreamAllocEm
      1    0.0%    0.0%  t __ZN4node12_GLOBAL__N_111GetLibuvNowERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  t __ZN4node10BaseObjectD2Ev
      1    0.0%    0.0%  t __ZN2v88internalL41Builtin_Impl_CallSitePrototypeGetFileNameENS0_16BuiltinArgumentsEPNS0_7IsolateE
      1    0.0%    0.0%  t __ZN2v88internal19SequentialStringKeyIhE7IsMatchENS0_6StringE
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_133MatchArrayElementsKindToArgumentsEPNS0_7IsolateENS0_6HandleINS0_7JSArrayEEEPNS0_16BuiltinArgumentsEii
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_130FinalizeUnoptimizedCompilationEPNS0_7IsolateENS0_6HandleINS0_6ScriptEEERKNS0_23UnoptimizedCompileFlagsEPKNS0_23UnoptimizedCompileStateERKNSt3__16vectorINS0_34FinalizeUnoptimizedCompilationDataENSD_9allocatorISF_EEEE
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_116GetOptimizedCodeENS0_6HandleINS0_10JSFunctionEEENS0_15ConcurrencyModeENS0_9BailoutIdEPNS0_15JavaScriptFrameE
      1    0.0%    0.0%  t __ZN2v88internal12_GLOBAL__N_116Fast_ArrayConcatEPNS0_7IsolateEPNS0_16BuiltinArgumentsE
      1    0.0%    0.0%  t __ZN2v84base19TemplateHashMapImplIPvS2_NS0_26HashEqualityThenKeyMatcherIS2_PFbS2_S2_EEENS0_23DefaultAllocationPolicyEE6ResizeES7_
      1    0.0%    0.0%  T _pthread_mutex_init
      1    0.0%    0.0%  T _mach_msg_destroy
      1    0.0%    0.0%  T __kernelrpc_mach_port_set_attributes
      1    0.0%    0.0%  T ___psynch_mutexwait
      1    0.0%    0.0%  T ___getdirentries64
      1    0.0%    0.0%  T __ZNK2v88internal12AstRawString12AsArrayIndexEPj
